time,x,y,z,qx,qy,qz,qw,err_x,err_y,err_z,err_qx,err_qy,err_qz,err_qw
1634068474161,3.5114,-8.6067,-1.28104,-0.00114496,-0.011257,0.637816,-0.770106,0,0,0,0,0,0,0
1634068474261,3.44055,-8.67346,-1.28117,-0.00124386,-0.0108228,0.63782,-0.770109,0,0,0,0,0,0,0
1634068474361,3.3683,-8.73868,-1.28125,-0.00129186,-0.0102628,0.637824,-0.770113,0,0,0,0,0,0,0
1634068474461,3.29473,-8.80242,-1.28129,-0.00129241,-0.00960524,0.637828,-0.770118,0,0,0,0,0,0,0
1634068474561,3.21765,-8.86663,-1.28128,-0.00124871,-0.00885306,0.637832,-0.770124,0,0,0,0,0,0,0
1634068474661,3.14171,-8.92764,-1.28122,-0.00116978,-0.00807554,0.637836,-0.770129,0,0,0,0,0,0,0
1634068474761,3.06477,-8.98747,-1.28112,-0.00109047,-0.00736566,0.637839,-0.770134,0,0,0,0,0,0,0
1634068474861,2.98691,-9.04618,-1.28101,-0.00127665,-0.00742205,0.63784,-0.770132,0,0,0,0,0,0,0
1634068474961,2.90575,-9.1055,-1.28092,-0.00166237,-0.00796185,0.637839,-0.770127,0,0,0,0,0,0,0
1634068475061,2.82605,-9.16182,-1.28087,-0.00213009,-0.00865604,0.637837,-0.77012,0,0,0,0,0,0,0
1634068475161,2.74538,-9.21674,-1.28088,-0.00261885,-0.0093319,0.637835,-0.770112,0,0,0,0,0,0,0
1634068475261,2.6637,-9.27012,-1.28095,-0.00309811,-0.00991649,0.637833,-0.770104,0,0,0,0,0,0,0
1634068475361,2.58099,-9.3218,-1.28105,-0.00354066,-0.0103647,0.637831,-0.770098,0,0,0,0,0,0,0
1634068475461,2.49469,-9.37316,-1.2812,-0.00394144,-0.0106685,0.637831,-0.770093,0,0,0,0,0,0,0
1634068475561,2.40987,-9.42108,-1.28137,-0.0042652,-0.0108088,0.637831,-0.770089,0,0,0,0,0,0,0
1634068475661,2.32403,-9.46702,-1.28155,-0.00451584,-0.0108029,0.637832,-0.770086,0,0,0,0,0,0,0
1634068475761,2.2372,-9.51096,-1.28173,-0.00466457,-0.0106305,0.637835,-0.770086,0,0,0,0,0,0,0
1634068475861,2.14943,-9.55289,-1.28188,-0.00470835,-0.0103062,0.637839,-0.770087,0,0,0,0,0,0,0
1634068475961,2.05807,-9.59403,-1.28201,-0.00464869,-0.00983697,0.637843,-0.770089,0,0,0,0,0,0,0
1634068476061,1.96856,-9.63201,-1.2821,-0.00450119,-0.00927938,0.637848,-0.770093,0,0,0,0,0,0,0
1634068476161,1.87829,-9.66818,-1.28213,-0.00427809,-0.00864681,0.637853,-0.770098,0,0,0,0,0,0,0
1634068476261,1.78456,-9.70366,-1.28212,-0.00398378,-0.00794135,0.637857,-0.770104,0,0,0,0,0,0,0
1634068476361,1.69295,-9.73649,-1.28206,-0.00364916,-0.00722479,0.637861,-0.770109,0,0,0,0,0,0,0
1634068476461,1.60078,-9.76787,-1.28195,-0.0033484,-0.00658223,0.637864,-0.770114,0,0,0,0,0,0,0
1634068476561,1.50811,-9.79793,-1.28183,-0.00355449,-0.0065886,0.637865,-0.770112,0,0,0,0,0,0,0
1634068476661,1.41213,-9.82747,-1.28174,-0.00409666,-0.00697855,0.637864,-0.770106,0,0,0,0,0,0,0
1634068476761,1.3185,-9.85465,-1.28169,-0.00475511,-0.0074766,0.637862,-0.7701,0,0,0,0,0,0,0
1634068476861,1.22441,-9.88021,-1.2817,-0.00543508,-0.00795844,0.63786,-0.770092,0,0,0,0,0,0,0
1634068476961,1.12987,-9.90397,-1.28176,-0.00607218,-0.00835112,0.637858,-0.770084,0,0,0,0,0,0,0
1634068477061,1.03203,-9.92643,-1.28186,-0.0066431,-0.00863053,0.637857,-0.770078,0,0,0,0,0,0,0
1634068477161,0.936656,-9.94616,-1.282,-0.00709739,-0.00877466,0.637857,-0.770072,0,0,0,0,0,0,0
1634068477261,0.84092,-9.96375,-1.28216,-0.00744159,-0.00879599,0.637857,-0.770069,0,0,0,0,0,0,0
1634068477361,0.744859,-9.97915,-1.28233,-0.00766828,-0.00870211,0.637859,-0.770066,0,0,0,0,0,0,0
1634068477461,0.64559,-9.9927,-1.2825,-0.00774645,-0.00847713,0.637862,-0.770065,0,0,0,0,0,0,0
1634068477561,0.548996,-10.0036,-1.28265,-0.0076726,-0.00814807,0.637866,-0.770066,0,0,0,0,0,0,0
1634068477661,0.452201,-10.0124,-1.28276,-0.00746413,-0.00773052,0.63787,-0.770069,0,0,0,0,0,0,0
1634068477761,0.35524,-10.0191,-1.28284,-0.00714048,-0.00724688,0.637875,-0.770073,0,0,0,0,0,0,0
1634068477861,0.255201,-10.024,-1.28286,-0.00670824,-0.00670076,0.63788,-0.770078,0,0,0,0,0,0,0
1634068477961,0.157996,-10.0269,-1.28284,-0.00621406,-0.00614248,0.637884,-0.770083,0,0,0,0,0,0,0
1634068478061,0.0607076,-10.028,-1.28277,-0.00566464,-0.00557033,0.637889,-0.770087,0,0,0,0,0,0,0
1634068478161,-0.0366477,-10.0277,-1.28266,-0.00518191,-0.00505921,0.637893,-0.770091,0,0,0,0,0,0,0
1634068478261,-0.137004,-10.0258,-1.28253,-0.00540063,-0.0050041,0.637894,-0.770089,0,0,0,0,0,0,0
1634068478361,-0.234424,-10.0226,-1.28243,-0.00602985,-0.00519678,0.637892,-0.770084,0,0,0,0,0,0,0
1634068478461,-0.331812,-10.0178,-1.28238,-0.00681625,-0.00545718,0.63789,-0.770078,0,0,0,0,0,0,0
1634068478561,-0.429111,-10.0114,-1.28237,-0.00761534,-0.00569282,0.637888,-0.77007,0,0,0,0,0,0,0
1634068478661,-0.529198,-10.0028,-1.28243,-0.00836775,-0.00586357,0.637886,-0.770063,0,0,0,0,0,0,0
1634068478761,-0.626121,-9.99249,-1.28252,-0.00898417,-0.00594202,0.637885,-0.770057,0,0,0,0,0,0,0
1634068478861,-0.722764,-9.98012,-1.28265,-0.00946569,-0.00593274,0.637884,-0.770051,0,0,0,0,0,0,0
1634068478961,-0.819065,-9.96562,-1.2828,-0.0098029,-0.0058423,0.637885,-0.770047,0,0,0,0,0,0,0
1634068479061,-0.917871,-9.94842,-1.28297,-0.00999449,-0.00567512,0.637887,-0.770044,0,0,0,0,0,0,0
1634068479161,-1.01332,-9.92951,-1.28312,-0.0100002,-0.00544345,0.63789,-0.770043,0,0,0,0,0,0,0
1634068479261,-1.1083,-9.90845,-1.28326,-0.00982998,-0.00515621,0.637893,-0.770045,0,0,0,0,0,0,0
1634068479361,-1.20278,-9.8853,-1.28337,-0.00950487,-0.00482925,0.637898,-0.770047,0,0,0,0,0,0,0
1634068479461,-1.29959,-9.85936,-1.28344,-0.00903448,-0.00446604,0.637903,-0.77005,0,0,0,0,0,0,0
1634068479561,-1.39305,-9.83228,-1.28346,-0.00847284,-0.00410086,0.637909,-0.770054,0,0,0,0,0,0,0
1634068479661,-1.48602,-9.80343,-1.28343,-0.00783229,-0.00373316,0.637914,-0.770058,0,0,0,0,0,0,0
1634068479761,-1.57853,-9.77297,-1.28336,-0.00713503,-0.00337035,0.637919,-0.770063,0,0,0,0,0,0,0
1634068479861,-1.67339,-9.74005,-1.28324,-0.00653857,-0.00304034,0.637923,-0.770067,0,0,0,0,0,0,0
1634068479961,-1.76505,-9.70673,-1.28312,-0.00676201,-0.00292886,0.637923,-0.770065,0,0,0,0,0,0,0
1634068480061,-1.85625,-9.67205,-1.28302,-0.00744251,-0.00291131,0.637922,-0.770059,0,0,0,0,0,0,0
1634068480161,-1.94693,-9.63592,-1.28297,-0.00828065,-0.00290726,0.63792,-0.770052,0,0,0,0,0,0,0
1634068480261,-2.03698,-9.59822,-1.28297,-0.00912051,-0.00286918,0.637918,-0.770045,0,0,0,0,0,0,0
1634068480361,-2.12897,-9.55761,-1.28303,-0.00989182,-0.00278482,0.637917,-0.770037,0,0,0,0,0,0,0
1634068480461,-2.21741,-9.51638,-1.28313,-0.0105032,-0.0026571,0.637916,-0.77003,0,0,0,0,0,0,0
1634068480561,-2.30491,-9.47328,-1.28326,-0.0109573,-0.00249015,0.637915,-0.770024,0,0,0,0,0,0,0
1634068480661,-2.39138,-9.42828,-1.28342,-0.0112493,-0.00229331,0.637916,-0.770021,0,0,0,0,0,0,0
1634068480761,-2.47935,-9.37989,-1.28359,-0.0113772,-0.0020713,0.637917,-0.770018,0,0,0,0,0,0,0
1634068480861,-2.56359,-9.33098,-1.28375,-0.0113055,-0.00184909,0.63792,-0.770018,0,0,0,0,0,0,0
1634068480961,-2.64667,-9.28019,-1.2839,-0.011048,-0.00163238,0.637924,-0.770018,0,0,0,0,0,0,0
1634068481061,-2.7286,-9.22758,-1.28401,-0.0106326,-0.00142847,0.637929,-0.770021,0,0,0,0,0,0,0
1634068481161,-2.81183,-9.17157,-1.28409,-0.0100682,-0.001238,0.637934,-0.770024,0,0,0,0,0,0,0
